Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
60, 6, 6, -0.6953, 11.1035, 0, 0, 44, 17, 
61, 6, 1, -0.0547, 0.4336, 0, 0, 6437, 38, 
61, 6, 2, -0.3945, 2.5, 0, 0, 456, 27, 
61, 6, 3, 1.3418, 10.6484, 0, 0, 39, 16, 
61, 6, 4, -10.7773, 2.7598, 0, 0, 46, 17, 
61, 6, 5, -9.3906, 5.1953, 0, 0, 35, 16, 
61, 6, 6, -0.6953, 11.1035, 0, 0, 45, 17, 
62, 6, 1, -0.0547, 0.4336, 0, 0, 6320, 38, 
62, 6, 2, -0.3945, 2.5, 0, 0, 439, 26, 
62, 6, 3, 1.3418, 10.6484, 0, 0, 39, 16, 
62, 6, 4, -10.7773, 2.7598, 0, 0, 44, 17, 
62, 6, 5, -9.3906, 5.1953, 0, 0, 34, 15, 
62, 6, 6, -0.6953, 11.1035, 0, 0, 43, 16, 
63, 6, 1, -0.0547, 0.4336, 0, 0, 6318, 38, 
63, 6, 2, -0.4746, 2.4863, 0, 0, 434, 26, 
63, 6, 3, 1.3418, 10.6484, 0, 0, 37, 16, 
63, 6, 4, -0.6953, 11.1035, 0, 0, 43, 16, 
63, 6, 5, -9.3906, 5.1953, 0, 0, 34, 15, 
63, 6, 6, -10.4297, 3.8711, 0, 0, 43, 16, 
64, 6, 1, -0.0547, 0.4336, 0, 0, 6472, 38, 
64, 6, 2, -0.3945, 2.5, 0, 0, 438, 26, 
64, 6, 3, 1.3418, 10.6484, 0, 0, 37, 16, 
64, 6, 4, -10.7773, 2.7598, 0, 0, 44, 17, 
64, 6, 5, -9.3906, 5.1953, 0, 0, 34, 15, 
64, 6, 6, -0.6953, 11.1035, 0, 0, 44, 17, 
65, 6, 1, -0.0547, 0.4336, 0, 0, 6492, 38, 
65, 6, 2, -0.3945, 2.5, 0, 0, 438, 26, 
65, 6, 3, -9.3906, 5.1953, 0, 0, 34, 15, 
65, 6, 4, -10.7773, 2.7598, 0, 0, 45, 17, 
65, 6, 5, 1.3418, 10.6484, 0, 0, 34, 15, 
65, 6, 6, -0.6953, 11.1035, 0, 0, 42, 16, 
66, 6, 1, -0.0547, 0.4336, 0, 0, 6527, 38, 
66, 6, 2, -0.3945, 2.5, 0, 0, 443, 26, 
66, 6, 3, -9.3906, 5.1953, 0, 0, 35, 16, 
66, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
66, 6, 5, 1.3418, 10.6484, 0, 0, 33, 15, 
66, 6, 6, -10.7773, 2.7598, 0, 0, 42, 16, 
67, 6, 1, -0.0547, 0.4336, 0, 0, 6523, 38, 
67, 6, 2, -0.3945, 2.5, 0, 0, 456, 27, 
67, 6, 3, 1.3418, 10.6484, 0, 0, 34, 15, 
67, 6, 4, -10.7773, 2.7598, 0, 0, 42, 16, 
67, 6, 5, -9.3906, 5.1953, 0, 0, 34, 15, 
67, 6, 6, -0.6953, 11.1035, 0, 0, 42, 16, 
68, 6, 1, -0.0547, 0.4336, 0, 0, 6550, 38, 
68, 6, 2, -0.3945, 2.5, 0, 0, 464, 27, 
68, 6, 3, -9.3906, 5.1953, 0, 0, 34, 15, 
68, 6, 4, -0.6953, 11.1035, 0, 0, 42, 16, 
68, 6, 5, 1.3418, 10.6484, 0, 0, 33, 15, 
68, 6, 6, -10.4297, 3.8711, 0, 0, 42, 16, 
69, 6, 1, -0.0547, 0.4336, 0, 0, 6737, 38, 
69, 6, 2, -0.3164, 2.5098, 0, 0, 509, 27, 
69, 6, 3, -9.3906, 5.1953, 0, 0, 38, 16, 
69, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
69, 6, 5, 1.0059, 10.6855, 0, 0, 37, 16, 
69, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
70, 6, 1, -0.0547, 0.4336, 0, 0, 6507, 38, 
70, 6, 2, -0.3945, 2.5, 0, 0, 561, 27, 
70, 6, 3, 1.3418, 10.6484, 0, 0, 37, 16, 
70, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
70, 6, 5, -9.7266, 4.5371, 0, 0, 35, 16, 
70, 6, 6, -10.4297, 3.8711, 0, 0, 41, 16, 
71, 6, 1, -0.0547, 0.4336, 0, 0, 6691, 38, 
71, 6, 2, -0.3945, 2.5, 0, 0, 526, 27, 
71, 6, 3, -9.3906, 5.1953, 0, 0, 36, 16, 
71, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
71, 6, 5, 1.3418, 10.6484, 0, 0, 34, 15, 
71, 6, 6, -10.4297, 3.8711, 0, 0, 41, 16, 
72, 6, 1, -0.0547, 0.4336, 0, 0, 6690, 38, 
72, 6, 2, -0.3945, 2.5, 0, 0, 538, 27, 
72, 6, 3, -9.3906, 5.1953, 0, 0, 36, 16, 
72, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
72, 6, 5, 1.3418, 10.6484, 0, 0, 34, 15, 
72, 6, 6, -10.7773, 2.7598, 0, 0, 40, 16, 
73, 6, 1, -0.0547, 0.4336, 0, 0, 6675, 38, 
73, 6, 2, -0.3945, 2.5, 0, 0, 524, 27, 
73, 6, 3, -9.3906, 5.1953, 0, 0, 35, 16, 
73, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
73, 6, 5, 1.3418, 10.6484, 0, 0, 34, 15, 
73, 6, 6, -10.4297, 3.8711, 0, 0, 42, 16, 
74, 6, 1, -0.0547, 0.4336, 0, 0, 6703, 38, 
74, 6, 2, -0.3945, 2.5, 0, 0, 540, 27, 
74, 6, 3, -9.3906, 5.1953, 0, 0, 35, 16, 
74, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
74, 6, 5, 1.3418, 10.6484, 0, 0, 32, 15, 
74, 6, 6, -10.7773, 2.7598, 0, 0, 41, 16, 
75, 6, 1, -0.0547, 0.4336, 0, 0, 6706, 38, 
75, 6, 2, -0.3945, 2.5, 0, 0, 567, 28, 
75, 6, 3, -9.3906, 5.1953, 0, 0, 36, 16, 
75, 6, 4, -0.6953, 11.1035, 0, 0, 43, 16, 
75, 6, 5, 1.3418, 10.6484, 0, 0, 30, 15, 
75, 6, 6, -10.7773, 2.7598, 0, 0, 43, 16, 
76, 6, 1, -0.0547, 0.4336, 0, 0, 6721, 38, 
76, 6, 2, -0.3945, 2.5, 0, 0, 559, 27, 
76, 6, 3, -9.3906, 5.1953, 0, 0, 35, 16, 
76, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
76, 6, 5, 1.3418, 10.6484, 0, 0, 30, 15, 
76, 6, 6, -10.4297, 3.8711, 0, 0, 43, 16, 
77, 6, 1, -0.0547, 0.4336, 0, 0, 6710, 38, 
77, 6, 2, -0.3945, 2.5, 0, 0, 570, 28, 
77, 6, 3, -9.3906, 5.1953, 0, 0, 36, 16, 
77, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
77, 6, 5, 1.3418, 10.6484, 0, 0, 31, 15, 
77, 6, 6, -10.7773, 2.7598, 0, 0, 42, 16, 
78, 6, 1, -0.0547, 0.4336, 0, 0, 6775, 38, 
78, 6, 2, -0.3945, 2.5, 0, 0, 550, 27, 
78, 6, 3, -9.3906, 5.1953, 0, 0, 36, 16, 
78, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
78, 6, 5, 1.3418, 10.6484, 0, 0, 31, 15, 
78, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
79, 6, 1, -0.0547, 0.4336, 0, 0, 6732, 38, 
79, 6, 2, -0.3945, 2.5, 0, 0, 576, 28, 
79, 6, 3, -9.3906, 5.1953, 0, 0, 37, 16, 
79, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
79, 6, 5, 1.3418, 10.6484, 0, 0, 31, 15, 
79, 6, 6, -10.7773, 2.7598, 0, 0, 43, 16, 
80, 6, 1, -0.0547, 0.4336, 0, 0, 6637, 38, 
80, 6, 2, -0.3945, 2.5, 0, 0, 557, 27, 
80, 6, 3, -9.3906, 5.1953, 0, 0, 35, 16, 
80, 6, 4, -10.7773, 2.7598, 0, 0, 44, 17, 
80, 6, 5, 1.0059, 10.6855, 0, 0, 32, 15, 
80, 6, 6, -0.6953, 11.1035, 0, 0, 43, 16, 
81, 6, 1, -0.0547, 0.4336, 0, 0, 6595, 38, 
81, 6, 2, -0.3945, 2.5, 0, 0, 482, 27, 
81, 6, 3, -9.3906, 5.1953, 0, 0, 35, 16, 
81, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
81, 6, 5, 1.3418, 10.6484, 0, 0, 29, 15, 
81, 6, 6, -10.7773, 2.7598, 0, 0, 43, 16, 
82, 7, 1, -0.0547, 0.4336, 0, 0, 7058, 38, 
82, 7, 2, -0.3945, 2.5, 0, 0, 532, 27, 
82, 7, 3, -0.3281, 2.5977, 0, 0, 374, 26, 
82, 7, 4, -9.3906, 5.1953, 0, 0, 37, 16, 
82, 7, 5, -0.6953, 11.1035, 0, 0, 42, 16, 
82, 7, 6, -4.6953, 9.6504, 0, 0, 31, 15, 
82, 7, 7, -10.4297, 3.8711, 0, 0, 40, 16, 
83, 6, 1, -0.0547, 0.4336, 0, 0, 7130, 39, 
83, 6, 2, -0.3945, 2.5, 0, 0, 544, 27, 
83, 6, 3, -9.3906, 5.1953, 0, 0, 37, 16, 
83, 6, 4, -0.6953, 11.1035, 0, 0, 43, 16, 
83, 6, 5, -4.6953, 9.6504, 0, 0, 31, 15, 
83, 6, 6, -10.7773, 2.7598, 0, 0, 42, 16, 
84, 6, 1, -0.0547, 0.4336, 0, 0, 6927, 38, 
84, 6, 2, -0.3945, 2.5, 0, 0, 511, 27, 
84, 6, 3, -9.3906, 5.1953, 0, 0, 35, 16, 
84, 6, 4, -10.7773, 2.7598, 0, 0, 43, 16, 
84, 6, 5, -5.0312, 9.4805, 0, 0, 29, 15, 
84, 6, 6, -0.6953, 11.1035, 0, 0, 42, 16, 
85, 6, 1, -0.0547, 0.4336, 0, 0, 6657, 38, 
85, 6, 2, -0.4746, 2.4863, 0, 0, 487, 27, 
85, 6, 3, -9.3906, 5.1953, 0, 0, 33, 15, 
85, 6, 4, -0.6953, 11.1035, 0, 0, 42, 16, 
85, 6, 5, -4.6953, 9.6504, 0, 0, 28, 15, 
85, 6, 6, -10.7773, 2.7598, 0, 0, 41, 16, 
86, 6, 1, -0.0547, 0.4336, 0, 0, 6580, 38, 
86, 6, 2, -0.4746, 2.4863, 0, 0, 471, 27, 
86, 6, 3, -9.3906, 5.1953, 0, 0, 33, 15, 
86, 6, 4, -10.7773, 2.7598, 0, 0, 43, 16, 
86, 6, 5, -4.6953, 9.6504, 0, 0, 28, 15, 
86, 6, 6, -0.6953, 11.1035, 0, 0, 42, 16, 
87, 7, 1, -0.0547, 0.4336, 0, 0, 6653, 38, 
87, 7, 2, -0.4746, 2.4863, 0, 0, 451, 27, 
87, 7, 3, -0.4902, 2.5723, 0, 0, 387, 26, 
87, 7, 4, -9.3906, 5.1953, 0, 0, 34, 15, 
87, 7, 5, -0.6953, 11.1035, 0, 0, 44, 17, 
87, 7, 6, -4.6953, 9.6504, 0, 0, 28, 15, 
87, 7, 7, -10.4297, 3.8711, 0, 0, 42, 16, 
88, 7, 1, -0.0547, 0.4336, 0, 0, 6636, 38, 
88, 7, 2, -0.4746, 2.4863, 0, 0, 436, 26, 
88, 7, 3, -0.4902, 2.5723, 0, 0, 370, 26, 
88, 7, 4, -9.3906, 5.1953, 0, 0, 34, 15, 
88, 7, 5, -0.6953, 11.1035, 0, 0, 44, 17, 
88, 7, 6, -4.6953, 9.6504, 0, 0, 28, 15, 
88, 7, 7, -10.7773, 2.7598, 0, 0, 42, 16, 
89, 6, 1, -0.0547, 0.4336, 0, 0, 6539, 38, 
89, 6, 2, -0.4746, 2.4863, 0, 0, 450, 27, 
89, 6, 3, -9.3906, 5.1953, 0, 0, 34, 15, 
89, 6, 4, -0.6953, 11.1035, 0, 0, 43, 16, 
89, 6, 5, -4.6953, 9.6504, 0, 0, 26, 14, 
89, 6, 6, -10.7773, 2.7598, 0, 0, 43, 16, 
90, 6, 1, -0.0547, 0.4336, 0, 0, 6448, 38, 
90, 6, 2, -0.4746, 2.4863, 0, 0, 469, 27, 
90, 6, 3, -9.3906, 5.1953, 0, 0, 33, 15, 
90, 6, 4, -10.7773, 2.7598, 0, 0, 44, 17, 
90, 6, 5, -4.6953, 9.6504, 0, 0, 27, 14, 
90, 6, 6, -0.6953, 11.1035, 0, 0, 43, 16, 
91, 6, 1, -0.0684, 0.4316, 0, 0, 6407, 38, 
91, 6, 2, -0.4746, 2.4863, 0, 0, 470, 27, 
91, 6, 3, -9.3906, 5.1953, 0, 0, 33, 15, 
91, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
91, 6, 5, -4.6953, 9.6504, 0, 0, 27, 14, 
91, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
92, 6, 1, -0.0684, 0.4316, 0, 0, 6321, 38, 
92, 6, 2, -0.4746, 2.4863, 0, 0, 471, 27, 
92, 6, 3, -9.3906, 5.1953, 0, 0, 33, 15, 
92, 6, 4, -10.7773, 2.7598, 0, 0, 45, 17, 
92, 6, 5, -4.6953, 9.6504, 0, 0, 26, 14, 
92, 6, 6, -0.6953, 11.1035, 0, 0, 44, 17, 
93, 6, 1, -0.0547, 0.4336, 0, 0, 6327, 38, 
93, 6, 2, -0.4746, 2.4863, 0, 0, 479, 27, 
93, 6, 3, -9.3906, 5.1953, 0, 0, 33, 15, 
93, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
93, 6, 5, -4.6953, 9.6504, 0, 0, 27, 14, 
93, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
94, 6, 1, -0.0547, 0.4336, 0, 0, 6302, 38, 
94, 6, 2, -0.4746, 2.4863, 0, 0, 477, 27, 
94, 6, 3, -9.3906, 5.1953, 0, 0, 32, 15, 
94, 6, 4, -10.7773, 2.7598, 0, 0, 43, 16, 
94, 6, 5, -4.6953, 9.6504, 0, 0, 26, 14, 
94, 6, 6, -0.6953, 11.1035, 0, 0, 43, 16, 
95, 6, 1, -0.0547, 0.4336, 0, 0, 6293, 38, 
95, 6, 2, -0.4746, 2.4863, 0, 0, 471, 27, 
95, 6, 3, -9.3906, 5.1953, 0, 0, 33, 15, 
95, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
95, 6, 5, -4.6953, 9.6504, 0, 0, 27, 14, 
95, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
96, 6, 1, -0.0684, 0.4316, 0, 0, 6268, 38, 
96, 6, 2, -0.4746, 2.4863, 0, 0, 484, 27, 
96, 6, 3, -9.3906, 5.1953, 0, 0, 32, 15, 
96, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
96, 6, 5, -4.6953, 9.6504, 0, 0, 26, 14, 
96, 6, 6, -10.7773, 2.7598, 0, 0, 43, 16, 
97, 6, 1, -0.0684, 0.4316, 0, 0, 6202, 38, 
97, 6, 2, -0.4746, 2.4863, 0, 0, 468, 27, 
97, 6, 3, -9.3906, 5.1953, 0, 0, 32, 15, 
97, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
97, 6, 5, -4.6953, 9.6504, 0, 0, 26, 14, 
97, 6, 6, -10.7773, 2.7598, 0, 0, 42, 16, 
98, 6, 1, -0.0547, 0.4336, 0, 0, 6378, 38, 
98, 6, 2, -0.4746, 2.4863, 0, 0, 405, 26, 
98, 6, 3, -9.3906, 5.1953, 0, 0, 34, 15, 
98, 6, 4, -10.7773, 2.7598, 0, 0, 43, 16, 
98, 6, 5, -4.6953, 9.6504, 0, 0, 27, 14, 
98, 6, 6, -0.6953, 11.1035, 0, 0, 42, 16, 
99, 5, 1, -0.0547, 0.4336, 0, 0, 6568, 38, 
99, 5, 2, -9.3906, 5.1953, 0, 0, 34, 15, 
99, 5, 3, -10.7773, 2.7598, 0, 0, 44, 17, 
99, 5, 4, -4.6953, 9.6504, 0, 0, 28, 15, 
99, 5, 5, -0.6953, 11.1035, 0, 0, 43, 16, 
100, 5, 1, -0.0547, 0.4336, 0, 0, 6460, 38, 
100, 5, 2, -9.3906, 5.1953, 0, 0, 33, 15, 
100, 5, 3, -0.6953, 11.1035, 0, 0, 43, 16, 
100, 5, 4, -4.6953, 9.6504, 0, 0, 28, 15, 
100, 5, 5, -10.7773, 2.7598, 0, 0, 42, 16, 
101, 6, 1, -0.0684, 0.4316, 0, 0, 6492, 38, 
101, 6, 2, -0.3945, 2.5, 0, 0, 317, 25, 
101, 6, 3, -9.3906, 5.1953, 0, 0, 34, 15, 
101, 6, 4, -10.7773, 2.7598, 0, 0, 44, 17, 
101, 6, 5, -4.6953, 9.6504, 0, 0, 26, 14, 
101, 6, 6, -0.6953, 11.1035, 0, 0, 43, 16, 
102, 5, 1, -0.0684, 0.4316, 0, 0, 6515, 38, 
102, 5, 2, -9.3906, 5.1953, 0, 0, 34, 15, 
102, 5, 3, -0.6953, 11.1035, 0, 0, 45, 17, 
102, 5, 4, -4.6953, 9.6504, 0, 0, 26, 14, 
102, 5, 5, -10.7773, 2.7598, 0, 0, 43, 16, 
103, 5, 1, -0.0684, 0.4316, 0, 0, 6534, 38, 
103, 5, 2, -9.3906, 5.1953, 0, 0, 34, 15, 
103, 5, 3, -0.6953, 11.1035, 0, 0, 44, 17, 
103, 5, 4, -4.6953, 9.6504, 0, 0, 26, 14, 
103, 5, 5, -10.7773, 2.7598, 0, 0, 43, 16, 
104, 5, 1, -0.0684, 0.4316, 0, 0, 6547, 38, 
104, 5, 2, -9.3906, 5.1953, 0, 0, 34, 15, 
104, 5, 3, -10.7773, 2.7598, 0, 0, 43, 16, 
104, 5, 4, -4.6953, 9.6504, 0, 0, 26, 14, 
104, 5, 5, -0.6953, 11.1035, 0, 0, 42, 16, 
105, 5, 1, -0.0684, 0.4316, 0, 0, 6536, 38, 
105, 5, 2, -9.3906, 5.1953, 0, 0, 34, 15, 
105, 5, 3, -0.6953, 11.1035, 0, 0, 45, 17, 
105, 5, 4, -4.6953, 9.6504, 0, 0, 25, 14, 
105, 5, 5, -10.7773, 2.7598, 0, 0, 44, 17, 
106, 5, 1, -0.0684, 0.4316, 0, 0, 6524, 38, 
106, 5, 2, -9.3906, 5.1953, 0, 0, 33, 15, 
106, 5, 3, -0.6953, 11.1035, 0, 0, 46, 17, 
106, 5, 4, -4.6953, 9.6504, 0, 0, 26, 14, 
106, 5, 5, -10.7773, 2.7598, 0, 0, 45, 17, 
107, 6, 1, -0.0684, 0.4316, 0, 0, 6530, 38, 
107, 6, 2, -0.3945, 2.5, 0, 0, 310, 25, 
107, 6, 3, -9.3906, 5.1953, 0, 0, 34, 15, 
107, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
107, 6, 5, -4.6953, 9.6504, 0, 0, 27, 14, 
107, 6, 6, -10.7773, 2.7598, 0, 0, 43, 16, 
108, 5, 1, -0.0547, 0.4336, 0, 0, 6542, 38, 
108, 5, 2, -9.3906, 5.1953, 0, 0, 34, 15, 
108, 5, 3, -10.7773, 2.7598, 0, 0, 44, 17, 
108, 5, 4, -4.6953, 9.6504, 0, 0, 27, 14, 
108, 5, 5, -0.6953, 11.1035, 0, 0, 43, 16, 
109, 5, 1, -0.0684, 0.4316, 0, 0, 6400, 38, 
109, 5, 2, -9.3906, 5.1953, 0, 0, 33, 15, 
109, 5, 3, -0.6953, 11.1035, 0, 0, 44, 17, 
109, 5, 4, 1.3418, 10.6484, 0, 0, 26, 14, 
109, 5, 5, -10.4297, 3.8711, 0, 0, 43, 16, 
110, 6, 1, -0.0684, 0.4316, 0, 0, 6276, 38, 
110, 6, 2, -0.3945, 2.5, 0, 0, 296, 25, 
110, 6, 3, -9.0566, 5.7598, 0, 0, 32, 15, 
110, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
110, 6, 5, -4.6953, 9.6504, 0, 0, 25, 14, 
110, 6, 6, -10.7773, 2.7598, 0, 0, 42, 16, 
111, 6, 1, -0.0684, 0.4316, 0, 0, 6230, 38, 
111, 6, 2, -0.3945, 2.5, 0, 0, 298, 25, 
111, 6, 3, -9.0566, 5.7598, 0, 0, 31, 15, 
111, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
111, 6, 5, 1.6777, 10.6016, 0, 0, 26, 14, 
111, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
112, 5, 1, -0.0684, 0.4316, 0, 0, 6220, 38, 
112, 5, 2, -9.0566, 5.7598, 0, 0, 30, 15, 
112, 5, 3, -10.7773, 2.7598, 0, 0, 44, 17, 
112, 5, 4, 1.6777, 10.6016, 0, 0, 26, 14, 
112, 5, 5, -0.6953, 11.1035, 0, 0, 42, 16, 
113, 5, 1, -0.0684, 0.4316, 0, 0, 6264, 38, 
113, 5, 2, -9.0566, 5.7598, 0, 0, 32, 15, 
113, 5, 3, -0.6953, 11.1035, 0, 0, 43, 16, 
113, 5, 4, 1.6777, 10.6016, 0, 0, 26, 14, 
113, 5, 5, -10.7773, 2.7598, 0, 0, 43, 16, 
114, 6, 1, -0.0684, 0.4316, 0, 0, 6370, 38, 
114, 6, 2, -0.3945, 2.5, 0, 0, 317, 25, 
114, 6, 3, -9.0566, 5.7598, 0, 0, 32, 15, 
114, 6, 4, -10.7773, 2.7598, 0, 0, 44, 17, 
114, 6, 5, 1.6777, 10.6016, 0, 0, 26, 14, 
114, 6, 6, -0.6953, 11.1035, 0, 0, 43, 16, 
115, 7, 1, -0.0684, 0.4316, 0, 0, 6273, 38, 
115, 7, 2, -0.3945, 2.5, 0, 0, 290, 25, 
115, 7, 3, -9.0566, 5.7598, 0, 0, 31, 15, 
115, 7, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
115, 7, 5, -1.3437, 2.1445, 0, 0, 206, 23, 
115, 7, 6, 1.6777, 10.6016, 0, 0, 24, 14, 
115, 7, 7, -10.7773, 2.7598, 0, 0, 42, 16, 
116, 6, 1, -0.0684, 0.4316, 0, 0, 6326, 38, 
116, 6, 2, -0.3945, 2.5, 0, 0, 312, 25, 
116, 6, 3, -9.0566, 5.7598, 0, 0, 32, 15, 
116, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
116, 6, 5, 1.6777, 10.6016, 0, 0, 26, 14, 
116, 6, 6, -10.7773, 2.7598, 0, 0, 43, 16, 
117, 6, 1, -0.0684, 0.4316, 0, 0, 6340, 38, 
117, 6, 2, -0.3164, 2.5098, 0, 0, 313, 25, 
117, 6, 3, -9.0566, 5.7598, 0, 0, 31, 15, 
117, 6, 4, -10.7773, 2.7598, 0, 0, 44, 17, 
117, 6, 5, 1.6777, 10.6016, 0, 0, 26, 14, 
117, 6, 6, -0.6953, 11.1035, 0, 0, 42, 16, 
118, 6, 1, -0.0684, 0.4316, 0, 0, 6346, 38, 
118, 6, 2, -0.3945, 2.5, 0, 0, 308, 25, 
118, 6, 3, -9.0566, 5.7598, 0, 0, 31, 15, 
118, 6, 4, -0.6953, 11.1035, 0, 0, 43, 16, 
118, 6, 5, 1.6777, 10.6016, 0, 0, 25, 14, 
118, 6, 6, -10.7773, 2.7598, 0, 0, 42, 16, 
119, 6, 1, -0.0684, 0.4316, 0, 0, 6372, 38, 
119, 6, 2, -0.3945, 2.5, 0, 0, 316, 25, 
119, 6, 3, -9.0566, 5.7598, 0, 0, 32, 15, 
119, 6, 4, -0.6953, 11.1035, 0, 0, 43, 16, 
119, 6, 5, 1.6777, 10.6016, 0, 0, 25, 14, 
119, 6, 6, -10.7773, 2.7598, 0, 0, 43, 16, 
120, 6, 1, -0.0684, 0.4316, 0, 0, 6392, 38, 
120, 6, 2, -0.3945, 2.5, 0, 0, 313, 25, 
120, 6, 3, -9.0566, 5.7598, 0, 0, 31, 15, 
120, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
120, 6, 5, 1.6777, 10.6016, 0, 0, 25, 14, 
120, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
121, 6, 1, -0.0684, 0.4316, 0, 0, 6396, 38, 
121, 6, 2, -0.3945, 2.5, 0, 0, 310, 25, 
121, 6, 3, -9.0566, 5.7598, 0, 0, 32, 15, 
121, 6, 4, -10.7773, 2.7598, 0, 0, 43, 16, 
121, 6, 5, -4.3594, 9.8066, 0, 0, 25, 14, 
121, 6, 6, -0.6953, 11.1035, 0, 0, 41, 16, 
